name,year,rank,age,height
Gary Oldman,(2011),511,62,"5' 8½"""
Tricia Helfer,(2004-2009),512,45,"5' 10½"""
Courtney Ford,(2009),513,,"5' 5"""
Hazar Ergüçlü,(2018),514,27,
Ginnifer Goodwin,(2006-2011),515,41,"5' 6"""
Mark Ruffalo,(2010),516,52,"5' 8"""
Lynn Collins,(2009),517,42,"5' 8¼"""
Janet Montgomery,(2010),518,34,"5' 6"""
Jason Isaacs,(2002),519,56,"5' 11"""
Donna Murphy,(2010),520,,"5' 8"""
Lena Headey,(2011-2019),521,46,"5' 5½"""
Elisha Cuthbert,(2004),522,37,"5' 2½"""
Abbie Cornish,(2006),523,37,"5' 8"""
Yeo-jeong Jo,(2019),524,39,"5' 4¼"""
Sarah Michelle Gellar,(1997-2003),525,42,"5' 4"""
Carrie Coon,(2014),526,,"5' 5"""
Katherine McNamara,(2015),527,24,"5' 4½"""
Andrew Scott,(2014),528,43,"5' 8"""
Denise Richards,(1999),529,49,"5' 6"""
Samuel L. Jackson,(1994),530,71,"6' 2½"""
Kathryn Hahn,(2013),531,46,"5' 5"""
Michael Fassbender,(2011),532,42,"6' 0¼"""
Priyanka Chopra,(2017),533,37,"5' 5"""
Nora-Jane Noone,(2005),534,36,"5' 4"""
Jared Leto,(2013),535,48,"5' 11"""
Martin Freeman,(2018),536,48,"5' 6½"""
Catherine O'Hara,(2000),537,66,"5' 4"""
Lauren Cohan,(2016),538,38,"5' 7"""
Rooney Mara,(2015),539,34,"5' 3"""
John Travolta,(1994),540,66,"6' 2"""
Cameron Diaz,(1998),541,47,"5' 8½"""
Luke Hemsworth,(2017),542,,"5' 9½"""
Aaron Paul,(2008-2013),543,40,"5' 8"""
Lauren German,(2007),544,41,"5' 7"""
Salma Hayek,(2002),545,53,"5' 2"""
Jaime Ray Newman,(2002),546,,"5' 4"""
Jonathan Frakes,(1996),547,67,"6' 3"""
Ella Balinska,(2019),548,,"5' 10"""
Emmy Rossum,(2004),549,33,"5' 8"""
Julia Campbell,(1997),550,,"5' 8"""
Erika Eleniak,(1992),551,50,"5' 8½"""
Maggie Grace,(2008),552,,"5' 9"""
